"","n.M.police","n.F.police","n.U.police.gender","n.W.police","n.B.police","n.A.police","n.L.police","n.O.police","id"
"121",1,0,0,1,0,0,0,0,1625344
"122",1,0,0,1,0,0,0,0,4399238
"123",2,0,0,2,0,0,0,0,3584180
"124",1,0,0,1,0,0,0,0,1336330
"125",1,0,0,1,0,0,0,0,1113901
"126",1,0,0,1,0,0,0,0,2958230
"127",2,0,0,2,0,0,0,0,3398828
"128",1,0,0,1,0,0,0,0,751083
"129",1,0,0,1,0,0,0,0,4102647
"130",1,1,0,2,0,0,0,0,4151088
"131",1,0,0,0,0,0,1,0,4567014
"132",2,0,0,1,0,0,1,0,625608
"133",1,0,0,1,0,0,0,0,999699
"134",1,0,0,1,0,0,0,0,1080901
"135",3,0,0,2,0,0,1,0,1546687
"136",1,1,0,1,0,0,1,0,3026929
"137",1,0,0,0,1,0,0,0,2869196
"138",1,0,0,1,0,0,0,0,1596106
"139",1,0,0,0,0,0,1,0,3246265
"140",1,0,0,1,0,0,0,0,2689852
"141",1,0,0,0,0,0,1,0,4307754
"142",1,0,0,1,0,0,0,0,994169
"143",1,0,0,0,1,0,0,0,1576524
"144",2,0,0,1,0,0,1,0,2315257
"145",1,0,0,1,0,0,0,0,1603599
"146",1,0,0,1,0,0,0,0,1688307
"147",1,0,0,0,0,0,1,0,2149127
"148",2,0,0,2,0,0,0,0,762109
"149",1,0,0,1,0,0,0,0,1311932
"150",1,0,0,1,0,0,0,0,3863120
"151",1,0,0,1,0,0,0,0,547936
"152",2,0,0,1,1,0,0,0,2467796
"153",1,0,0,0,0,1,0,0,4440920
"154",0,0,1,0,0,0,0,0,3914493
"155",0,0,0,0,1,0,0,0,4121026
"156",0,0,0,3,3,0,0,0,3657345
"157",0,0,0,3,3,0,0,0,4302278
"158",0,0,0,2,0,0,0,0,4227489
"159",0,0,1,0,0,0,0,0,938486
"160",0,0,0,3,0,0,0,0,336758
"161",0,0,1,0,0,0,0,0,901721
"162",0,0,0,3,3,0,0,0,1713483
"163",0,0,0,3,0,0,0,0,1266657
"164",0,0,0,1,0,0,0,0,1746217
"165",0,0,0,1,1,0,0,0,3671320
"166",0,0,0,1,1,0,1,0,1114426
"167",0,0,0,0,1,0,0,0,2926935
"168",0,0,1,0,0,0,0,0,807792
"169",0,0,1,0,0,0,0,0,4447855
"170",0,0,0,0,1,0,0,0,4661039
"171",0,0,0,1,0,0,0,0,2784438
"172",0,0,1,0,0,0,0,0,543887
"173",0,0,0,1,0,0,0,0,3524111
"174",0,0,1,0,0,0,0,0,3932311
"175",0,0,0,1,0,0,0,0,3674190
"176",0,0,0,0,1,0,0,0,2082537
"177",0,0,0,0,1,0,0,0,3750396
"178",0,0,0,0,1,0,0,0,882145
"179",0,0,1,0,0,0,0,0,2736781
"180",0,0,1,0,0,0,0,0,2538629
"181",0,0,0,1,3,0,0,0,3355537
"182",0,0,0,0,1,0,0,0,3528437
"183",0,0,0,2,0,0,0,0,1610051
"184",0,0,1,0,0,0,0,0,982979
"185",0,0,0,1,0,0,0,0,3632388
"186",0,0,0,2,0,0,0,0,4269093
"187",0,0,0,0,1,0,0,0,256605
"188",0,0,0,0,2,0,0,0,4866097
"189",0,0,0,1,1,0,0,0,40578
"190",0,0,0,1,1,0,0,0,4911342
"191",0,0,0,3,3,0,0,0,1395605
"192",0,0,0,1,0,0,0,0,4532479
"193",0,0,0,0,1,0,0,0,478483
"194",0,0,0,1,0,0,1,0,4627851
"195",0,0,0,0,2,0,1,0,4495943
"196",0,0,0,1,0,0,0,0,1608285
"197",0,0,0,0,0,0,1,0,2593825
"198",0,0,0,1,0,0,1,0,1035209
"199",0,0,1,0,0,0,0,0,3797421
"200",0,0,1,0,0,0,0,0,3772252
"201",0,0,0,1,0,0,0,0,3487191
"202",0,0,1,0,0,0,0,0,1707997
"203",0,0,1,0,0,0,0,0,4486458
"204",0,0,0,1,0,0,0,0,1697677
"205",0,0,0,2,1,0,0,0,2909337
"206",0,0,0,1,0,0,0,0,3086172
"207",0,0,0,1,1,0,0,0,3217359
"208",0,0,1,0,0,0,0,0,4793232
"209",0,0,0,1,0,0,0,0,2399896
"210",0,0,1,0,0,0,0,0,1287767
"211",0,0,0,3,0,0,0,0,1177135
"212",0,0,1,0,0,0,0,0,527519
"213",0,0,1,0,0,0,0,0,2649772
"214",0,0,0,1,1,0,1,0,4627654
"215",0,0,0,1,0,0,0,0,2790679
"216",0,0,0,2,0,0,0,0,4255822
"217",0,0,0,1,1,0,0,0,3096575
"218",0,0,0,1,0,0,0,0,1812654
"219",0,0,1,0,0,0,0,0,619628
"220",0,0,1,0,0,0,0,0,2831903
"221",0,0,0,1,0,0,0,0,4748853
"222",0,0,0,0,1,0,0,0,1953611
"223",0,0,0,0,1,0,0,0,164000
"224",0,0,0,1,0,0,0,0,3642156
"225",0,0,0,1,0,0,0,0,4631608
"226",0,0,0,0,0,0,1,0,3086539
"227",0,0,1,0,0,0,0,0,2188333
"228",0,0,0,2,1,0,0,0,2977965
"229",0,0,1,0,0,0,0,0,938387
"230",0,0,1,0,0,0,0,0,3349606
"231",0,0,0,1,0,0,0,0,1626130
"232",0,0,0,1,0,0,0,0,2354146
"233",0,0,0,0,2,0,0,0,3420467
"234",0,0,0,2,1,0,0,0,2874378
"235",0,0,0,0,1,0,0,0,381342
"236",0,0,0,0,0,0,1,0,948597
"237",0,0,1,0,0,0,0,0,4270073
"238",0,0,0,1,0,0,1,0,144324
"239",0,0,0,1,0,0,0,0,2383011
"240",0,0,0,1,0,1,0,0,1276062
"241",0,0,0,1,0,0,0,0,1936186
"242",0,0,0,1,0,0,3,0,3424161
"243",0,0,0,0,2,0,0,0,3779825
"244",0,0,0,0,1,0,0,0,3590109
"245",0,0,0,0,1,0,0,0,2528321
"246",0,0,1,0,0,0,0,0,2487145
"247",1,0,0,1,0,0,0,0,1324288
"248",3,0,1,0,0,0,0,0,3001844
"249",3,0,0,2,1,0,0,0,1846606
"250",2,0,2,0,0,0,0,0,950894
"251",2,0,0,2,0,0,0,0,39560
"252",1,0,1,0,0,0,0,0,805458
"253",2,0,0,0,2,0,0,0,118595
"254",2,0,0,2,0,0,0,0,1967075
"255",1,0,0,1,0,0,0,0,2011176
"256",1,0,0,1,0,0,0,0,676076
"257",2,0,0,1,1,0,0,0,4920672
"258",1,0,0,1,0,0,0,0,1358536
"259",1,0,0,1,0,0,0,0,4701991
"260",0,1,0,1,0,0,0,0,265820
"261",1,0,0,0,1,0,0,0,474738
"262",1,0,0,1,0,0,0,0,3221440
"263",1,0,0,1,0,0,0,0,278803
"264",1,0,0,1,0,0,0,0,4197366
"265",1,0,0,0,0,2,0,0,4978668
"266",2,0,0,2,0,0,0,0,811736
"267",1,0,0,1,0,0,0,0,4613908
"268",1,0,0,1,0,0,0,0,4730106
"269",1,0,0,1,0,0,0,0,4109242
"270",2,0,0,1,1,0,0,0,4308736
"271",1,0,0,1,0,0,0,0,4619367
"272",9,0,0,8,0,0,0,0,2909235
"273",1,0,0,0,1,0,0,0,4440130
"274",1,0,0,0,1,0,0,0,1597246
"275",1,0,0,0,1,0,0,0,3739942
"276",1,0,0,1,0,0,0,0,2946841
"277",1,0,0,1,0,0,0,0,3190210
"278",1,0,0,1,0,0,0,0,3434274
"279",1,0,0,1,0,0,0,0,4016843
"280",1,0,0,1,0,0,0,0,3295655
"281",1,0,0,1,0,0,0,0,3146105
"282",2,0,0,2,0,0,0,0,4441507
"283",2,0,0,2,0,0,0,0,2635768
"284",2,0,0,1,0,1,0,0,1038283
"285",1,0,0,0,0,1,0,0,4096450
"286",1,0,0,1,0,0,0,0,4865771
"287",1,0,0,0,0,0,1,0,4056365
"288",1,0,0,1,0,0,0,0,1264361
"289",1,0,0,0,1,0,0,0,4162948
"290",1,0,0,1,0,0,0,0,3793774
"291",1,0,0,0,0,0,1,0,2370081
"292",1,0,0,1,0,0,0,0,4051425
"293",1,0,0,0,0,1,0,0,436668
"294",3,0,0,1,1,0,1,0,2282099
"295",2,0,0,2,0,0,0,0,1998823
"296",1,0,0,0,0,0,1,0,1305160
"297",2,0,0,2,0,0,0,0,3148980
"298",7,1,0,3,0,0,5,0,2474330
"299",1,0,0,0,0,1,0,0,4132074
"300",1,0,0,1,0,0,0,0,3475582
"301",1,0,0,1,0,0,0,0,3761822
"302",1,1,0,0,0,0,2,0,1885241
"303",1,0,0,1,0,0,0,0,4700491
"304",1,0,0,0,1,0,0,0,691852
"305",1,0,0,0,0,0,1,0,2614944
"306",4,0,0,0,4,0,0,0,4388529
"307",1,0,0,1,0,0,0,0,4010632
"308",1,0,0,1,0,0,0,0,3540139
"309",2,0,0,0,2,0,0,0,2753724
"310",2,0,0,2,0,0,0,0,2356420
"311",0,0,1,0,0,0,0,0,1532203
"312",1,0,1,0,1,0,0,0,4861637
"313",1,0,0,0,1,0,0,0,4807932
"314",5,0,0,1,1,0,3,0,1865724
"315",1,0,0,0,0,0,1,0,1555981
"316",1,0,0,0,0,0,1,0,284432
"317",1,0,0,1,0,0,0,0,4923022
"318",4,0,0,2,0,0,2,0,1654909
"319",1,0,0,0,1,0,0,0,2247286
"320",1,0,0,0,0,0,1,0,261438
"321",3,0,0,2,0,0,1,0,888501
"322",3,0,0,1,0,0,2,0,1904202
"323",2,0,0,1,0,0,1,0,1633580
"324",1,0,0,1,0,0,0,0,3475654
"325",1,0,0,1,0,0,0,0,530632
"326",9,0,0,1,5,0,3,0,4784477
"327",1,0,0,0,1,0,0,0,3982891
"328",1,0,0,0,0,1,0,0,1635037
"329",1,0,0,0,0,0,1,0,2570871
"330",1,0,0,1,0,0,0,0,968307
"331",2,0,0,2,0,0,0,0,1143057
"332",1,0,0,1,0,0,0,0,3729988
"333",1,1,0,1,0,0,1,0,2369142
"334",1,0,0,0,0,0,1,0,3824450
"335",1,0,0,0,0,0,1,0,2493950
"336",1,0,0,1,0,0,0,0,2809292
"337",1,0,0,1,0,0,0,0,312678
"338",2,0,0,2,0,0,0,0,63589
"339",2,0,0,0,2,0,0,0,3115871
"340",1,0,0,0,1,0,0,0,3172113
"341",0,2,0,0,2,0,0,0,3654495
"342",2,0,0,2,0,0,0,0,2447862
"343",2,0,0,0,1,0,1,0,1056954
"344",0,1,0,0,1,0,0,0,4323131
"345",1,0,0,0,0,0,1,0,1092852
"346",1,0,0,1,0,0,0,0,2662462
"347",1,0,0,1,0,0,0,0,2687623
"348",1,0,0,1,0,0,0,0,1828497
"349",1,0,0,0,0,0,1,0,2080552
"350",1,0,0,1,0,0,0,0,4151323
"351",3,0,0,1,0,0,2,0,4098133
"352",1,0,0,0,0,0,1,0,2781713
"353",1,0,0,1,0,0,0,0,3149326
"354",1,0,0,0,1,0,0,0,3353026
"355",1,0,0,1,0,0,0,0,3275375
"356",2,0,0,1,1,0,0,0,1760794
"357",1,0,0,1,0,0,0,0,1305289
"358",2,0,0,2,0,0,0,0,4971492
"359",1,0,0,1,0,0,0,0,4052715
"360",1,0,0,1,0,0,0,0,1718919
"361",1,0,0,0,1,0,0,0,4005472
"362",1,0,0,0,1,0,0,0,2885373
"363",2,0,0,1,1,0,0,0,548589
"364",2,0,0,1,0,0,1,0,949076
"365",1,0,0,0,1,0,0,0,115549
"366",1,0,0,1,0,0,0,0,3663339
"367",1,0,0,0,0,0,1,0,4981022
"368",2,0,0,0,2,0,0,0,2247940
"369",1,0,0,0,0,0,1,0,101267
"370",1,0,0,1,0,0,0,0,3236923
"371",1,0,0,1,0,0,0,0,4206896
"372",1,0,0,0,1,0,0,0,2908109
"373",5,1,0,2,3,0,1,0,4526475
"374",0,1,0,1,0,0,0,0,3890022
"375",1,0,0,0,0,0,1,0,2963453
"376",1,0,0,1,0,0,0,0,3101532
"377",3,0,0,1,0,0,2,0,338323
"378",1,0,0,1,0,0,0,0,3492397
"379",2,0,0,2,0,0,0,0,3418563
"380",2,0,0,1,1,0,0,0,3771875
"381",2,0,0,1,0,0,1,0,1661976
"382",1,0,0,0,0,0,1,0,935146
"383",1,0,0,0,0,0,1,0,1997972
"384",3,0,0,2,0,1,0,0,2233062
"385",1,0,0,1,0,0,0,0,548105
"386",3,1,0,3,0,0,1,0,3729589
"387",1,0,0,0,0,0,1,0,2836306
"388",1,0,0,1,0,0,0,0,2112906
"389",1,0,0,1,0,0,0,0,4104430
"390",1,0,0,1,0,0,0,0,1445660
"391",2,0,0,2,0,0,0,0,3328719
"392",1,0,0,0,1,0,0,0,4923237
"393",1,0,0,0,1,0,0,0,4709225
"394",1,1,0,0,2,0,0,0,589852
"395",1,0,0,1,0,0,0,0,4394323
"396",2,0,0,1,0,0,1,0,1299118
"397",1,0,0,0,1,0,0,0,26187
"398",2,0,0,2,0,0,0,0,2066613
"399",2,0,0,1,0,0,1,0,3956446
"400",2,0,0,2,0,0,0,0,4210235
"401",1,0,0,1,0,0,0,0,240867
"402",3,0,0,2,1,0,0,0,4020705
"403",1,0,0,1,0,0,0,0,2273226
"404",2,0,0,1,0,0,1,0,3261776
"405",3,0,0,0,0,1,2,0,1719733
"406",1,0,0,1,0,0,0,0,4756923
"407",1,0,0,1,0,0,0,0,4753893
"408",1,0,0,0,0,0,1,0,4744007
"409",2,0,0,1,1,0,0,0,1569316
"410",1,0,0,0,1,0,0,0,1431508
"411",1,0,0,1,0,0,0,0,2746606
"412",2,0,0,1,1,0,0,0,251083
"413",2,0,0,2,0,0,0,0,4289405
"414",3,0,0,3,0,0,0,0,869837
"415",2,0,0,1,1,0,0,0,940408
"416",1,0,0,1,0,0,0,0,3559884
"417",1,0,0,0,1,0,0,0,3778141
"418",1,0,0,0,1,0,0,0,1814049
"419",2,0,0,1,0,0,1,0,3013308
"420",2,0,0,0,1,0,1,0,3340320
"421",3,1,0,3,0,0,1,0,3299650
"422",1,0,0,0,1,0,0,0,1686556
"423",1,0,0,0,0,1,0,0,4144987
"424",1,0,0,0,1,0,0,0,1640023
"425",4,0,0,3,0,0,1,0,4494048
"426",1,0,0,0,0,0,1,0,2350825
"427",2,0,0,1,0,0,1,0,134197
"428",1,0,0,1,0,0,0,0,561492
"429",3,0,0,2,0,0,1,0,275254
"430",1,0,0,0,0,0,1,0,228331
"431",3,0,0,1,0,0,2,0,906032
"432",1,0,0,0,1,0,0,0,2705275
"433",2,0,0,0,0,0,2,0,1182490
"434",2,0,0,2,0,0,0,0,4594665
"435",1,0,0,1,0,0,0,0,456825
"436",2,0,0,0,1,0,1,0,1532583
"437",1,0,0,0,1,0,0,0,2188614
"438",1,0,0,0,0,0,1,0,3710353
"439",1,1,0,2,0,0,0,0,683372
"440",0,1,0,1,0,0,0,0,2835897
"441",1,0,0,0,0,0,1,0,2688395
"442",0,0,1,0,0,0,0,0,2861292
"443",0,1,0,1,0,0,0,0,949967
"444",1,0,0,1,0,0,0,0,1233645
"445",1,0,0,0,0,1,0,0,910539
"446",5,0,0,1,1,0,3,0,283265
"447",1,0,0,1,0,0,0,0,609219
"448",7,1,0,3,0,0,5,0,3191491
"449",1,0,0,1,0,0,0,0,429408
"450",1,0,0,1,0,0,0,0,3671372
"451",1,3,0,1,3,0,0,0,236029
"452",2,0,0,0,0,0,2,0,3640956
"453",1,0,0,0,0,0,1,0,1489577
"454",1,0,0,0,0,0,1,0,2490547
"455",1,0,0,0,0,0,1,0,2109271
"456",1,1,0,0,2,0,0,0,2186083
"457",1,0,0,1,0,0,0,0,256453
"458",2,0,0,2,0,0,0,0,1752396
"459",2,0,0,2,0,0,0,0,2877342
"460",0,1,0,1,0,0,0,0,458695
"461",1,0,0,0,0,0,1,0,3384785
"462",1,0,0,0,0,0,1,0,4915859
"463",2,0,0,0,0,0,2,0,120186
"464",2,0,0,2,0,0,0,0,3340343
"465",1,0,0,0,0,1,0,0,1597846
"466",1,0,0,1,0,0,0,0,2766930
"467",1,0,0,0,1,0,0,0,447694
"468",2,0,0,2,0,0,0,0,4496973
"469",1,0,0,1,0,0,0,0,533123
"470",1,0,0,1,0,0,0,0,1378762
"471",1,0,0,1,0,0,0,0,1296231
"472",1,0,0,1,0,0,0,0,2500774
"473",1,0,0,0,0,0,1,0,1722544
"474",1,0,0,1,0,0,0,0,134952
"475",1,0,0,1,0,0,0,0,1189515
"476",4,0,0,0,4,0,0,0,1459237
"477",1,0,0,1,0,0,0,0,1595211
"478",0,1,0,0,1,0,0,0,4760153
"479",1,0,0,0,1,0,0,0,3045927
"480",1,0,0,1,0,0,0,0,4909515
"481",4,0,0,1,0,0,3,0,4262740
"482",1,0,0,1,0,0,0,0,4060977
"483",1,0,0,0,0,0,1,0,4634194
"484",0,1,0,0,1,0,0,0,4178966
"485",1,0,0,0,1,0,0,0,1538662
"486",0,1,0,0,0,0,1,0,562614
"487",1,0,0,1,0,0,0,0,1153661
"488",1,0,0,1,0,0,0,0,1881836
"489",1,0,0,0,0,1,0,0,2747322
"490",1,0,0,1,0,0,0,0,1929668
"491",1,0,0,1,0,0,0,0,2121625
"492",1,0,0,0,1,0,0,0,4682265
"493",2,0,0,2,0,0,0,0,1455121
"494",1,0,0,0,1,0,0,0,4422284
"495",1,0,0,1,0,0,0,0,1023950
"496",1,0,0,1,0,0,0,0,3309279
"497",2,0,0,2,0,0,0,0,1117285
"498",1,0,0,0,0,1,0,0,1780620
"499",2,0,0,2,0,0,0,0,3266044
"500",1,0,0,1,0,0,0,0,2879200
"501",3,0,0,0,0,0,3,0,1297764
"502",1,0,0,1,0,0,0,0,2919186
"503",1,0,0,0,0,0,1,0,3548848
"504",4,0,0,0,1,0,2,0,4685509
"505",1,0,0,1,0,0,0,0,1581845
"506",2,0,0,1,1,0,0,0,2967252
"507",1,0,0,0,1,0,0,0,2720164
"508",0,1,0,0,1,0,0,0,1541520
"509",1,0,0,1,0,0,0,0,3265218
"510",1,0,0,1,0,0,0,0,67266
"511",1,1,0,0,0,0,2,0,469876
"512",0,1,0,0,1,0,0,0,2727290
"513",0,2,0,0,2,0,0,0,2678535
"514",1,0,0,1,0,0,0,0,1222224
"515",1,0,0,0,0,0,1,0,3103265
"516",2,0,0,0,0,0,2,0,3047188
"517",1,0,0,1,0,0,0,0,4271164
"518",1,0,0,0,1,0,0,0,4998309
"519",1,0,0,1,0,0,0,0,4971725
"520",1,0,0,1,0,0,0,0,936851
"521",2,0,0,0,1,0,1,0,3822242
"522",2,0,0,1,0,0,1,0,4300636
"523",0,0,1,0,0,0,0,0,1487966
"524",0,1,0,0,1,0,0,0,4963261
"525",5,0,0,1,1,0,3,0,2826180
"526",3,0,0,3,0,0,0,0,2693837
"527",1,0,0,1,0,0,0,0,218540
"528",1,0,0,1,0,0,0,0,4310928
"529",1,1,0,0,2,0,0,0,827165
"530",3,1,0,2,0,0,2,0,3686306
"531",2,0,0,1,1,0,0,0,1666964
"532",1,0,0,1,0,0,0,0,4708773
"533",1,0,0,0,1,0,0,0,1890069
"534",1,0,0,0,1,0,0,0,378485
"535",1,0,0,1,0,0,0,0,1840604
"536",1,0,0,0,1,0,0,0,2493323
"537",0,2,0,1,0,0,1,0,1255095
"538",1,0,0,0,1,0,0,0,3115540
"539",1,0,0,0,0,0,1,0,3279125
"540",1,1,0,1,0,0,1,0,830317
"541",1,0,0,1,0,0,0,0,3692303
"542",1,0,0,0,1,0,0,0,2635895
"543",1,0,0,1,0,0,0,0,89183
"544",1,0,0,1,0,0,0,0,4930151
"545",0,1,0,1,0,0,0,0,836508
"546",1,0,0,1,0,0,0,0,592520
"547",3,0,0,2,0,0,1,0,2889243
"548",1,0,0,0,1,0,0,0,1844821
"549",3,0,0,1,0,0,2,0,1710878
"550",1,0,0,1,0,0,0,0,2970520
"551",1,0,0,0,0,0,1,0,4237726
"552",1,0,0,1,0,0,0,0,2603616
"553",1,1,1,1,0,0,0,0,2992564
"554",0,0,1,0,0,0,0,0,1419789
"555",1,0,0,0,1,0,0,0,3703183
"556",1,0,0,1,0,0,0,0,1803352
"557",1,0,0,0,0,0,1,0,405226
"558",1,0,0,1,0,0,0,0,3393183
"559",1,0,0,1,0,0,0,0,3089184
"560",2,0,0,0,2,0,0,0,1269119
"561",1,0,0,1,0,0,0,0,1798407
"562",1,0,0,0,1,0,0,0,1084230
"563",0,0,0,0,1,0,0,0,4127748
"564",1,0,0,0,0,0,1,0,2719709
"565",1,0,0,1,0,0,0,0,2796978
"566",1,1,0,2,0,0,0,0,3838189
"567",2,0,0,1,0,0,1,0,3207606
"568",1,0,0,1,0,0,0,0,1443658
"569",1,1,0,0,2,0,0,0,3765150
"570",2,0,0,1,0,0,1,0,4473149
"571",1,0,0,0,0,1,0,0,253406
"572",2,0,0,1,0,0,1,0,3568149
"573",2,0,0,2,0,0,0,0,3169101
"574",2,0,0,1,0,0,1,0,2266212
"575",1,0,0,0,1,0,0,0,495963
"576",1,0,0,0,0,0,1,0,426005
"577",1,0,0,0,0,1,0,0,1870293
"578",4,0,0,0,4,0,0,0,1218510
"579",1,0,0,1,0,0,0,0,1568310
"580",1,0,0,0,0,0,1,0,1569838
"581",1,0,0,1,0,0,0,0,1210729
"582",2,0,0,1,0,0,1,0,3735122
"583",1,0,0,1,0,0,0,0,4024993
"584",0,2,0,0,2,0,0,0,4921854
"585",1,1,0,2,0,0,0,0,4113060
"586",1,0,0,1,0,0,0,0,3856155
"587",4,0,0,0,4,0,0,0,1454690
"588",1,0,0,0,0,0,1,0,1044932
"589",3,0,0,1,0,0,2,0,3350283
"590",5,0,0,3,0,0,2,0,2621206
"591",1,0,0,0,1,0,0,0,41156
"592",1,0,0,0,0,1,0,0,273522
"593",2,0,0,1,0,0,1,0,3722721
"594",1,1,0,2,0,0,0,0,3982759
"595",7,1,0,3,0,0,5,0,122086
"596",1,0,0,1,0,0,0,0,916431
"597",1,0,0,1,0,0,0,0,4955404
"598",1,0,0,0,0,0,1,0,4446951
"599",2,0,0,0,2,0,0,0,892442
"600",2,0,0,2,0,0,0,0,1856271
"601",2,0,0,0,1,0,1,0,3613267
"602",1,0,0,0,1,0,0,0,4737824
"603",4,0,0,2,0,0,2,0,3465750
"604",1,0,0,1,0,0,0,0,3155000
"605",1,0,0,1,0,0,0,0,569472
"606",1,0,0,1,0,0,0,0,2127564
"607",1,0,0,1,0,0,0,0,55714
"608",1,0,0,0,0,1,0,0,1923765
"609",1,0,0,0,1,0,0,0,465177
