"City","id","Date","Fatal","SubjectArmed","SubjectRace","SubjectGender","SubjectAge","NatureOfStop","NumberOfShots","NumberOfOfficers","OfficerRace","OfficerGender","Department","Month","Day","rank2016","state","estimate2016","census2010","change","sq_mi","sq_km","pop_density1","pop_density2","location","pop_density_size","coast","NewAge","AgeGroup","Seasons","Weekend","MoreThanOneOfficer","ShotsClean","MoreThanOneShot","mainOfficerRace","mainOfficerGender"
"albuquerque",851448,NA,"F","Y","W","M","U",NA,"1",6,"H;H;W;W;W;W","M;F;M;M;M;M","Albuquerque Police Department","0","0",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"0",0,1,1,0,"w","M"
"albuquerque",3955718,"2016-11-01","N","Y","L","M","U",NA,"1",1,"H","M","Albuquerque Police Department","11","3",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"1",0,0,1,0,"h","M"
"albuquerque",3931374,NA,"F","Y","B","M","U",NA,"1",1,"H","M","Albuquerque Police Department","0","0",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"0",0,0,1,0,"h","M"
"albuquerque",288062,NA,"F","Y","L","M","U",NA,"1",2,"W;H","M;M","Albuquerque Police Department","0","0",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"0",0,1,1,0,"h","M"
"albuquerque",2670171,"2012-06-08","N","Y","L","M","U",NA,"1",1,"W","M","Albuquerque Police Department","6","6",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"3",0,0,1,0,"w","M"
"albuquerque",4447884,NA,"N","N","U","M","U",NA,"1",1,"W","M","Albuquerque Police Department","0","0",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"0",0,0,1,0,"w","M"
"albuquerque",3832982,NA,"F","Y","L","M","U",NA,"1",1,"W","M","Albuquerque Police Department","0","0",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"0",0,0,1,0,"w","M"
"albuquerque",4385459,NA,"F","Y","U","M","U",NA,"1",1,"W","M","Albuquerque Police Department","0","0",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"0",0,0,1,0,"w","M"
"albuquerque",466908,"2015-09-01","N","Y","U","M","U",NA,"1",1,"W","M","Albuquerque Police Department","9","3",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"4",0,0,1,0,"w","M"
"albuquerque",1570143,NA,"F","N","L","M","U",NA,"1",2,"W;W","M;M","Albuquerque Police Department","0","0",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"0",0,1,1,0,"w","M"
"albuquerque",4014097,NA,"F","N","L","M","U",NA,"1",1,"W","M","Albuquerque Police Department","0","0",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"0",0,0,1,0,"w","M"
"albuquerque",1292062,NA,"F","N","W","M","U",NA,"1",1,"W","M","Albuquerque Police Department","0","0",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"0",0,0,1,0,"w","M"
"albuquerque",639066,NA,"F","N","L","M","U",NA,"1",1,"W","M","Albuquerque Police Department","0","0",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"0",0,0,1,0,"w","M"
"albuquerque",3518430,"2013-08-12","F","N","W","M","U",NA,"1",1,"H","M","Albuquerque Police Department","8","2",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"4",0,0,1,0,"h","M"
"albuquerque",2560075,"2011-12-04","F","Y","L","M","U",NA,"1",1,"W","M","Albuquerque Police Department","12","1",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"2",1,0,1,0,"w","M"
"albuquerque",4221190,NA,"F","Y","U","M","U",NA,"1",3,"W;H;W","M;M;M","Albuquerque Police Department","0","0",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"0",0,1,1,0,"w","M"
"albuquerque",2096397,NA,"F","N","W","M","U",NA,"1",1,"H","M","Albuquerque Police Department","0","0",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"0",0,0,1,0,"h","M"
"albuquerque",1407333,NA,"F","N","W","M","U",NA,"1",1,"W","M","Albuquerque Police Department","0","0",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"0",0,0,1,0,"w","M"
"albuquerque",1681318,NA,"N","Y","L","M","U",NA,"1",1,"H","M","Albuquerque Police Department","0","0",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"0",0,0,1,0,"h","M"
"albuquerque",4339586,"2013-03-09","N","Y","U","U","U",NA,"1",1,"W","M","Albuquerque Police Department","3","7",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"2",1,0,1,0,"w","M"
"albuquerque",1038153,NA,"F","N","W","M","U",NA,"1",2,"H;U","M;M","Albuquerque Police Department","0","0",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"0",0,1,1,0,"h","M"
"albuquerque",2356323,NA,"N","N","L","M","U",NA,"1",1,"H","M","Albuquerque Police Department","0","0",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"0",0,0,1,0,"h","M"
"albuquerque",4148532,"2013-05-03","F","Y","W","M","U",NA,"1",3,"H;W;W","M;M;M","Albuquerque Police Department","5","6",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"3",0,1,1,0,"w","M"
"albuquerque",1064982,NA,"N","U","L","M","U",NA,"1",10,"W;W;H;W;H;H;W;B;U;H","F;M;M;M;M;M;M;M;M;M","Albuquerque Police Department","0","0",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"0",0,1,1,0,"h","M"
"albuquerque",1473003,"2011-07-09","N","Y","U","M","U",NA,"1",1,"W","M","Albuquerque Police Department","7","7",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"3",1,0,1,0,"w","M"
"albuquerque",3154891,"2011-10-05","F","Y","L","M","U",NA,"1",1,"W","M","Albuquerque Police Department","10","4",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"1",0,0,1,0,"w","M"
"albuquerque",521933,NA,"N","N","U","U","U",NA,"1",1,"W","M","Albuquerque Police Department","0","0",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"0",0,0,1,0,"w","M"
"albuquerque",4966058,NA,"F","N","U","M","U",NA,"1",1,"W","M","Albuquerque Police Department","0","0",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"0",0,0,1,0,"w","M"
"albuquerque",4550714,NA,"F","Y","W","M","U",NA,"1",2,"W;H","M;M","Albuquerque Police Department","0","0",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"0",0,1,1,0,"h","M"
"albuquerque",4003167,NA,"F","Y","U","M","U",NA,"1",1,"W","M","Albuquerque Police Department","0","0",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"0",0,0,1,0,"w","M"
"albuquerque",1638671,"2010-10-11","N","Y","U","M","U",NA,"1",1,"W","M","Albuquerque Police Department","10","2",32,"newmexico",559277,545852,246,1882,48742,2972,11472,"35.1056°N 106.6474°W","2","neither",0,0,"1",0,0,1,0,"w","M"
"atlanta",1026876,NA,"U","U","U","U","U",NA,"1",1,"U","U","DeKalb County Police Department","0","0",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",0,0,"0",0,0,1,0,"u","U"
"atlanta",1621761,NA,"F","Y","U","U","U",NA,"1",2,"U","U","Atlanta Police Department","0","0",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",0,0,"0",0,1,1,0,"u","U"
"atlanta",801544,NA,"N","U","B","M","35.0",NA,"1",1,"B","M","DeKalb County Police Department","0","0",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",35,2,"0",0,0,1,0,"b","M"
"atlanta",898351,"2016-02-05","N","U","B","M","24.0",NA,"1",1,"B","M","DeKalb County Police Department","2","6",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",24,2,"2",0,0,1,0,"b","M"
"atlanta",1874604,"2011-10-01","N","U","B","M","25.0",NA,"1",2,"B;B","M;M","DeKalb County Police Department","10","7",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",25,2,"1",1,1,1,0,"b","M"
"atlanta",1067107,"2015-12-08","N","Y","U","U","U",NA,"4.0",1,"U","U","Atlanta Police Department","12","3",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",0,0,"2",0,0,4,1,"u","U"
"atlanta",4769922,"2016-09-01","U","U","U","U","U",NA,"1",1,"U","U","DeKalb County Police Department","9","5",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",0,0,"4",0,0,1,0,"u","U"
"atlanta",1255321,NA,"N","Y","U","U","U",NA,"2.0",1,"U","U","Atlanta Police Department","0","0",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",0,0,"0",0,0,2,1,"u","U"
"atlanta",1590125,"2014-10-01","N","U","B","M","24.0",NA,"1",1,"B","F","DeKalb County Police Department","10","4",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",24,2,"1",0,0,1,0,"b","F"
"atlanta",1506706,"2010-08-02","F","U","B","M","24.0",NA,"1",11,"U;B;U;U;U;U;U;U;U;U;B","U;M;U;U;U;U;U;U;U;U;M","DeKalb County Police Department","8","2",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",24,2,"4",0,1,1,0,"u","U"
"atlanta",3004324,"2014-12-12","N","U","B","U","U",NA,"1",3,"B;B;L","M;M;M","DeKalb County Police Department","12","6",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",0,0,"2",0,1,1,0,"b","M"
"atlanta",3116339,"2013-12-05","N","U","B","M","23.0",NA,"1",1,"W","M","DeKalb County Police Department","12","5",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",23,2,"2",0,0,1,0,"w","M"
"atlanta",4238311,"2015-08-07","N","U","B","M","U",NA,"1",1,"W","M","DeKalb County Police Department","8","6",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",0,0,"4",0,0,1,0,"w","M"
"atlanta",2570474,"2010-07-01","N","U","B","M","24.0",NA,"1",1,"W","M","DeKalb County Police Department","7","5",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",24,2,"3",0,0,1,0,"w","M"
"atlanta",4269293,NA,"F","U","B","M","17.0",NA,"1",2,"B;B","M;M","DeKalb County Police Department","0","0",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",17,1,"0",0,1,1,0,"b","M"
"atlanta",737639,NA,"N","U","B","M","43.0",NA,"1",1,"B","M","DeKalb County Police Department","0","0",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",43,3,"0",0,0,1,0,"b","M"
"atlanta",2008720,NA,"N","N","U","U","U",NA,"1",3,"U","U","Atlanta Police Department","0","0",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",0,0,"0",0,1,1,0,"u","U"
"atlanta",4657111,NA,"N","U","B","M","19.0",NA,"1",1,"B","M","DeKalb County Police Department","0","0",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",19,1,"0",0,0,1,0,"b","M"
"atlanta",2003305,"2012-02-03","N","U","B","M","46.0",NA,"1",3,"W;W;B","M;M;M","DeKalb County Police Department","2","6",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",46,3,"2",0,1,1,0,"w","M"
"atlanta",3553295,"2010-04-09","N","U","B","U","U",NA,"1",2,"W;B","M;M","DeKalb County Police Department","4","6",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",0,0,"2",0,1,1,0,"b","M"
"atlanta",3833572,NA,"N","U","B","M","21.0",NA,"1",2,"B;B","M;M","DeKalb County Police Department","0","0",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",21,2,"0",0,1,1,0,"b","M"
"atlanta",3271722,"2015-07-05","N","N","U","U","U",NA,"1",1,"U","U","Atlanta Police Department","7","1",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",0,0,"3",1,0,1,0,"u","U"
"atlanta",4040305,NA,"N","U","B","U","U",NA,"1",1,"W","M","DeKalb County Police Department","0","0",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",0,0,"0",0,0,1,0,"w","M"
"atlanta",145943,"2016-12-04","U","U","U","U","U",NA,"1",1,"U","U","DeKalb County Police Department","12","1",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",0,0,"2",1,0,1,0,"u","U"
"atlanta",559535,"2016-05-02","U","U","U","U","U",NA,"1",1,"U","U","DeKalb County Police Department","5","2",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",0,0,"3",0,0,1,0,"u","U"
"atlanta",4633265,NA,"N","U","B","M","16.0",NA,"1",1,"B","F","DeKalb County Police Department","0","0",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",16,1,"0",0,0,1,0,"b","F"
"atlanta",1483266,NA,"F","U","A","M","34.0",NA,"1",1,"W","M","DeKalb County Police Department","0","0",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",34,2,"0",0,0,1,0,"w","M"
"atlanta",3338861,NA,"F","U","B","M","44.0",NA,"1",1,"B","M","DeKalb County Police Department","0","0",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",44,3,"0",0,0,1,0,"b","M"
"atlanta",2568461,NA,"N","U","B","M","34.0",NA,"1",1,"W","F","DeKalb County Police Department","0","0",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",34,2,"0",0,0,1,0,"w","F"
"atlanta",462779,"2011-08-04","N","Y","U","U","U",NA,"14.0",3,"U","U","Atlanta Police Department","8","5",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",0,0,"4",0,1,14,1,"u","U"
"atlanta",1894657,"2015-09-03","F","U","B","M","27.0",NA,"1",1,"W","M","DeKalb County Police Department","9","5",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",27,2,"4",0,0,1,0,"w","M"
"atlanta",2079698,"2014-02-10","F","U","B","M","19.0",NA,"1",1,"B","M","DeKalb County Police Department","2","2",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",19,1,"2",0,0,1,0,"b","M"
"atlanta",2367290,"2014-06-02","N","U","B","M","19.0",NA,"1",3,"B;B;B","F;M;M","DeKalb County Police Department","6","2",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",19,1,"3",0,1,1,0,"b","M"
"atlanta",425441,NA,"F","U","B","M","29.0",NA,"1",1,"W","M","DeKalb County Police Department","0","0",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",29,2,"0",0,0,1,0,"w","M"
"atlanta",374689,NA,"F","U","A","M","44.0",NA,"1",1,"B;W","M;M","DeKalb County Police Department","0","0",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",44,3,"0",0,0,1,0,"b","M"
"atlanta",1812952,NA,"U","U","U","U","U",NA,"1",1,"W","M","DeKalb County Police Department","0","0",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",0,0,"0",0,0,1,0,"w","M"
"atlanta",2335299,NA,"F","U","B","M","51.0",NA,"1",1,"B","M","DeKalb County Police Department","0","0",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",51,3,"0",0,0,1,0,"b","M"
"atlanta",2107693,"2012-11-02","F","U","B","M","21.0",NA,"1",2,"B;W","M;M","DeKalb County Police Department","11","6",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",21,2,"1",0,1,1,0,"b","M"
"atlanta",2606330,NA,"N","U","B","M","37.0",NA,"1",1,"B","M","DeKalb County Police Department","0","0",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",37,2,"0",0,0,1,0,"b","M"
"atlanta",84281,"2012-12-08","F","U","B","M","52.0",NA,"1",2,"W;B","M;M","DeKalb County Police Department","12","7",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",52,3,"2",1,1,1,0,"b","M"
"atlanta",1462534,"2016-04-12","N","U","B","M","54.0",NA,"1",1,"B","M","DeKalb County Police Department","4","3",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",54,3,"2",0,0,1,0,"b","M"
"atlanta",682779,"2015-12-07","F","U","B","M","24.0",NA,"1",1,"B","M","DeKalb County Police Department","12","2",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",24,2,"2",0,0,1,0,"b","M"
"atlanta",2282098,"2010-07-03","F","U","B","M","38.0",NA,"1",2,"W;B","M;M","DeKalb County Police Department","7","7",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",38,2,"3",1,1,1,0,"b","M"
"atlanta",3630453,"2014-03-03","N","U","B","M","40.0",NA,"1",2,"B;B","M;M","DeKalb County Police Department","3","2",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",40,3,"2",0,1,1,0,"b","M"
"atlanta",205848,NA,"F","Y","U","U","U",NA,"5.0",2,"U","U","Atlanta Police Department","0","0",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",0,0,"0",0,1,5,1,"u","U"
"atlanta",2673390,NA,"U","U","B","M","U",NA,"1",1,"B","M","DeKalb County Police Department","0","0",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",0,0,"0",0,0,1,0,"b","M"
"atlanta",3559646,NA,"N","N","U","U","U",NA,"1.0",1,"U","U","Atlanta Police Department","0","0",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",0,0,"0",0,0,1,0,"u","U"
"atlanta",42835,"2015-08-04","N","Y","U","U","U",NA,"20.0",2,"U","U","Atlanta Police Department","8","3",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",0,0,"4",0,1,20,1,"u","U"
"atlanta",2576245,"2013-11-09","N","Y","U","U","U",NA,"4.0",1,"U","U","Atlanta Police Department","11","7",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",0,0,"1",1,0,4,1,"u","U"
"atlanta",4516240,"2012-08-11","N","Y","U","U","U",NA,"6.0",1,"U","U","Atlanta Police Department","8","7",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",0,0,"4",1,0,6,1,"u","U"
"atlanta",818588,"2014-02-05","N","Y","U","U","U",NA,"1",2,"U","U","Atlanta Police Department","2","4",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",0,0,"2",0,1,1,0,"u","U"
"atlanta",3162263,"2012-07-12","N","U","B","M","19.0",NA,"1",1,"B","M","DeKalb County Police Department","7","5",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",19,1,"3",0,0,1,0,"b","M"
"atlanta",3931603,"2014-07-09","N","Y","U","U","U",NA,"3.0",1,"U","U","Atlanta Police Department","7","4",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",0,0,"3",0,0,3,1,"u","U"
"atlanta",2634180,NA,"N","U","U","U","U",NA,"1",1,"W","M","DeKalb County Police Department","0","0",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",0,0,"0",0,0,1,0,"w","M"
"atlanta",768993,NA,"F","U","W","M","31.0",NA,"1",1,"B","M","DeKalb County Police Department","0","0",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",31,2,"0",0,0,1,0,"b","M"
"atlanta",3563646,NA,"N","U","B","F","63.0",NA,"1",1,"B","M","DeKalb County Police Department","0","0",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",63,4,"0",0,0,1,0,"b","M"
"atlanta",4776568,"2015-10-10","N","N","U","U","U",NA,"1",1,"U","U","Atlanta Police Department","10","7",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",0,0,"1",1,0,1,0,"u","U"
"atlanta",4666574,NA,"N","U","B","M","29.0",NA,"1",1,"B","M","DeKalb County Police Department","0","0",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",29,2,"0",0,0,1,0,"b","M"
"atlanta",4831344,"2013-04-04","N","N","U","U","U",NA,"1.0",1,"U","U","Atlanta Police Department","4","5",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",0,0,"2",0,0,1,0,"u","U"
"atlanta",4605375,NA,"N","Y","U","U","U",NA,"1.0",1,"U","U","Atlanta Police Department","0","0",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",0,0,"0",0,0,1,0,"u","U"
"atlanta",3399820,NA,"N","N","U","U","U",NA,"1",3,"U","U","Atlanta Police Department","0","0",38,"georgia",472522,420003,1250,1335,34582,3539,13662,"33.7629°N 84.4227°W","2","east",0,0,"0",0,1,1,0,"u","U"
